retailer_id,sku_id,date,quantity_ordered
6977,M009594,2025-12-29,
6977,M009594,2026-01-05,
6977,M009594,2026-01-12,
6977,M009594,2026-01-19,
6977,M014013,2025-12-29,
6977,M014013,2026-01-05,
6977,M014013,2026-01-12,
6977,M014013,2026-01-19,
6977,M011232,2025-12-29,
6977,M011232,2026-01-05,
6977,M011232,2026-01-12,
6977,M011232,2026-01-19,
6977,M009364,2025-12-29,
6977,M009364,2026-01-05,
6977,M009364,2026-01-12,
6977,M009364,2026-01-19,
6977,M009542,2025-12-29,
6977,M009542,2026-01-05,
6977,M009542,2026-01-12,
6977,M009542,2026-01-19,
6977,M009651,2025-12-29,
6977,M009651,2026-01-05,
6977,M009651,2026-01-12,
6977,M009651,2026-01-19,
6977,M009630,2025-12-29,
6977,M009630,2026-01-05,
6977,M009630,2026-01-12,
6977,M009630,2026-01-19,
6977,M012665,2025-12-29,
6977,M012665,2026-01-05,
6977,M012665,2026-01-12,
6977,M012665,2026-01-19,
6977,M010788,2025-12-29,
6977,M010788,2026-01-05,
6977,M010788,2026-01-12,
6977,M010788,2026-01-19,
6977,M013459,2025-12-29,
6977,M013459,2026-01-05,
6977,M013459,2026-01-12,
6977,M013459,2026-01-19,
6977,M014771,2025-12-29,
6977,M014771,2026-01-05,
6977,M014771,2026-01-12,
6977,M014771,2026-01-19,
6977,M012706,2025-12-29,
6977,M012706,2026-01-05,
6977,M012706,2026-01-12,
6977,M012706,2026-01-19,
6977,M016641,2025-12-29,
6977,M016641,2026-01-05,
6977,M016641,2026-01-12,
6977,M016641,2026-01-19,
6977,M013962,2025-12-29,
6977,M013962,2026-01-05,
6977,M013962,2026-01-12,
6977,M013962,2026-01-19,
6977,M010132,2025-12-29,
6977,M010132,2026-01-05,
6977,M010132,2026-01-12,
6977,M010132,2026-01-19,
6977,M009072,2025-12-29,
6977,M009072,2026-01-05,
6977,M009072,2026-01-12,
6977,M009072,2026-01-19,
8471,M010132,2025-12-29,
8471,M010132,2026-01-05,
8471,M010132,2026-01-12,
8471,M010132,2026-01-19,
8471,M009630,2025-12-29,
8471,M009630,2026-01-05,
8471,M009630,2026-01-12,
8471,M009630,2026-01-19,
8471,M013086,2025-12-29,
8471,M013086,2026-01-05,
8471,M013086,2026-01-12,
8471,M013086,2026-01-19,
8471,M009284,2025-12-29,
8471,M009284,2026-01-05,
8471,M009284,2026-01-12,
8471,M009284,2026-01-19,
8471,M011339,2025-12-29,
8471,M011339,2026-01-05,
8471,M011339,2026-01-12,
8471,M011339,2026-01-19,
8471,M010200,2025-12-29,
8471,M010200,2026-01-05,
8471,M010200,2026-01-12,
8471,M010200,2026-01-19,
8471,M009050,2025-12-29,
8471,M009050,2026-01-05,
8471,M009050,2026-01-12,
8471,M009050,2026-01-19,
8471,M009542,2025-12-29,
8471,M009542,2026-01-05,
8471,M009542,2026-01-12,
8471,M009542,2026-01-19,
8471,M014771,2025-12-29,
8471,M014771,2026-01-05,
8471,M014771,2026-01-12,
8471,M014771,2026-01-19,
8471,M010868,2025-12-29,
8471,M010868,2026-01-05,
8471,M010868,2026-01-12,
8471,M010868,2026-01-19,
8471,M010253,2025-12-29,
8471,M010253,2026-01-05,
8471,M010253,2026-01-12,
8471,M010253,2026-01-19,
8471,M010079,2025-12-29,
8471,M010079,2026-01-05,
8471,M010079,2026-01-12,
8471,M010079,2026-01-19,
8471,M011232,2025-12-29,
8471,M011232,2026-01-05,
8471,M011232,2026-01-12,
8471,M011232,2026-01-19,
8582,M010676,2025-12-29,
8582,M010676,2026-01-05,
8582,M010676,2026-01-12,
8582,M010676,2026-01-19,
8582,M012706,2025-12-29,
8582,M012706,2026-01-05,
8582,M012706,2026-01-12,
8582,M012706,2026-01-19,
8582,M011339,2025-12-29,
8582,M011339,2026-01-05,
8582,M011339,2026-01-12,
8582,M011339,2026-01-19,
8582,M013086,2025-12-29,
8582,M013086,2026-01-05,
8582,M013086,2026-01-12,
8582,M013086,2026-01-19,
8582,M010079,2025-12-29,
8582,M010079,2026-01-05,
8582,M010079,2026-01-12,
8582,M010079,2026-01-19,
8582,M013220,2025-12-29,
8582,M013220,2026-01-05,
8582,M013220,2026-01-12,
8582,M013220,2026-01-19,
8582,M010253,2025-12-29,
8582,M010253,2026-01-05,
8582,M010253,2026-01-12,
8582,M010253,2026-01-19,
8582,M010132,2025-12-29,
8582,M010132,2026-01-05,
8582,M010132,2026-01-12,
8582,M010132,2026-01-19,
8582,M012115,2025-12-29,
8582,M012115,2026-01-05,
8582,M012115,2026-01-12,
8582,M012115,2026-01-19,
8582,M009651,2025-12-29,
8582,M009651,2026-01-05,
8582,M009651,2026-01-12,
8582,M009651,2026-01-19,
8582,M012665,2025-12-29,
8582,M012665,2026-01-05,
8582,M012665,2026-01-12,
8582,M012665,2026-01-19,
8582,M013459,2025-12-29,
8582,M013459,2026-01-05,
8582,M013459,2026-01-12,
8582,M013459,2026-01-19,
8582,M010184,2025-12-29,
8582,M010184,2026-01-05,
8582,M010184,2026-01-12,
8582,M010184,2026-01-19,
8582,M011086,2025-12-29,
8582,M011086,2026-01-05,
8582,M011086,2026-01-12,
8582,M011086,2026-01-19,
8582,M009284,2025-12-29,
8582,M009284,2026-01-05,
8582,M009284,2026-01-12,
8582,M009284,2026-01-19,
8918,M013294,2025-12-29,
8918,M013294,2026-01-05,
8918,M013294,2026-01-12,
8918,M013294,2026-01-19,
8918,M010079,2025-12-29,
8918,M010079,2026-01-05,
8918,M010079,2026-01-12,
8918,M010079,2026-01-19,
8918,M016641,2025-12-29,
8918,M016641,2026-01-05,
8918,M016641,2026-01-12,
8918,M016641,2026-01-19,
8918,M013459,2025-12-29,
8918,M013459,2026-01-05,
8918,M013459,2026-01-12,
8918,M013459,2026-01-19,
8918,M010132,2025-12-29,
8918,M010132,2026-01-05,
8918,M010132,2026-01-12,
8918,M010132,2026-01-19,
8918,M009050,2025-12-29,
8918,M009050,2026-01-05,
8918,M009050,2026-01-12,
8918,M009050,2026-01-19,
8918,M009630,2025-12-29,
8918,M009630,2026-01-05,
8918,M009630,2026-01-12,
8918,M009630,2026-01-19,
8918,M009648,2025-12-29,
8918,M009648,2026-01-05,
8918,M009648,2026-01-12,
8918,M009648,2026-01-19,
8918,M009542,2025-12-29,
8918,M009542,2026-01-05,
8918,M009542,2026-01-12,
8918,M009542,2026-01-19,
8918,M010253,2025-12-29,
8918,M010253,2026-01-05,
8918,M010253,2026-01-12,
8918,M010253,2026-01-19,
8918,M013220,2025-12-29,
8918,M013220,2026-01-05,
8918,M013220,2026-01-12,
8918,M013220,2026-01-19,
8918,M012115,2025-12-29,
8918,M012115,2026-01-05,
8918,M012115,2026-01-12,
8918,M012115,2026-01-19,
8918,M009898,2025-12-29,
8918,M009898,2026-01-05,
8918,M009898,2026-01-12,
8918,M009898,2026-01-19,
8918,M010082,2025-12-29,
8918,M010082,2026-01-05,
8918,M010082,2026-01-12,
8918,M010082,2026-01-19,
8918,M010862,2025-12-29,
8918,M010862,2026-01-05,
8918,M010862,2026-01-12,
8918,M010862,2026-01-19,
8918,M014013,2025-12-29,
8918,M014013,2026-01-05,
8918,M014013,2026-01-12,
8918,M014013,2026-01-19,
8918,M010453,2025-12-29,
8918,M010453,2026-01-05,
8918,M010453,2026-01-12,
8918,M010453,2026-01-19,
9607,M010453,2025-12-29,
9607,M010453,2026-01-05,
9607,M010453,2026-01-12,
9607,M010453,2026-01-19,
9607,M009072,2025-12-29,
9607,M009072,2026-01-05,
9607,M009072,2026-01-12,
9607,M009072,2026-01-19,
9607,M011232,2025-12-29,
9607,M011232,2026-01-05,
9607,M011232,2026-01-12,
9607,M011232,2026-01-19,
9607,M009651,2025-12-29,
9607,M009651,2026-01-05,
9607,M009651,2026-01-12,
9607,M009651,2026-01-19,
9607,M013220,2025-12-29,
9607,M013220,2026-01-05,
9607,M013220,2026-01-12,
9607,M013220,2026-01-19,
9607,M010532,2025-12-29,
9607,M010532,2026-01-05,
9607,M010532,2026-01-12,
9607,M010532,2026-01-19,
9607,M013459,2025-12-29,
9607,M013459,2026-01-05,
9607,M013459,2026-01-12,
9607,M013459,2026-01-19,
9607,M010771,2025-12-29,
9607,M010771,2026-01-05,
9607,M010771,2026-01-12,
9607,M010771,2026-01-19,
9607,M012860,2025-12-29,
9607,M012860,2026-01-05,
9607,M012860,2026-01-12,
9607,M012860,2026-01-19,
9607,M011339,2025-12-29,
9607,M011339,2026-01-05,
9607,M011339,2026-01-12,
9607,M011339,2026-01-19,
9607,M010200,2025-12-29,
9607,M010200,2026-01-05,
9607,M010200,2026-01-12,
9607,M010200,2026-01-19,
9607,M010132,2025-12-29,
9607,M010132,2026-01-05,
9607,M010132,2026-01-12,
9607,M010132,2026-01-19,
9607,M010868,2025-12-29,
9607,M010868,2026-01-05,
9607,M010868,2026-01-12,
9607,M010868,2026-01-19,
9607,M016641,2025-12-29,
9607,M016641,2026-01-05,
9607,M016641,2026-01-12,
9607,M016641,2026-01-19,
9607,M009630,2025-12-29,
9607,M009630,2026-01-05,
9607,M009630,2026-01-12,
9607,M009630,2026-01-19,
9607,M014013,2025-12-29,
9607,M014013,2026-01-05,
9607,M014013,2026-01-12,
9607,M014013,2026-01-19,
9607,M012665,2025-12-29,
9607,M012665,2026-01-05,
9607,M012665,2026-01-12,
9607,M012665,2026-01-19,
9683,M010132,2025-12-29,
9683,M010132,2026-01-05,
9683,M010132,2026-01-12,
9683,M010132,2026-01-19,
9683,M011339,2025-12-29,
9683,M011339,2026-01-05,
9683,M011339,2026-01-12,
9683,M011339,2026-01-19,
9683,M009648,2025-12-29,
9683,M009648,2026-01-05,
9683,M009648,2026-01-12,
9683,M009648,2026-01-19,
9683,M012860,2025-12-29,
9683,M012860,2026-01-05,
9683,M012860,2026-01-12,
9683,M012860,2026-01-19,
9683,M010532,2025-12-29,
9683,M010532,2026-01-05,
9683,M010532,2026-01-12,
9683,M010532,2026-01-19,
9683,M014771,2025-12-29,
9683,M014771,2026-01-05,
9683,M014771,2026-01-12,
9683,M014771,2026-01-19,
4033,M016641,2025-12-29,
4033,M016641,2026-01-05,
4033,M016641,2026-01-12,
4033,M016641,2026-01-19,
4033,M013086,2025-12-29,
4033,M013086,2026-01-05,
4033,M013086,2026-01-12,
4033,M013086,2026-01-19,
4033,M013294,2025-12-29,
4033,M013294,2026-01-05,
4033,M013294,2026-01-12,
4033,M013294,2026-01-19,
4033,M009594,2025-12-29,
4033,M009594,2026-01-05,
4033,M009594,2026-01-12,
4033,M009594,2026-01-19,
4033,M010132,2025-12-29,
4033,M010132,2026-01-05,
4033,M010132,2026-01-12,
4033,M010132,2026-01-19,
4033,M014771,2025-12-29,
4033,M014771,2026-01-05,
4033,M014771,2026-01-12,
4033,M014771,2026-01-19,
4033,M010079,2025-12-29,
4033,M010079,2026-01-05,
4033,M010079,2026-01-12,
4033,M010079,2026-01-19,
5887,M014771,2025-12-29,
5887,M014771,2026-01-05,
5887,M014771,2026-01-12,
5887,M014771,2026-01-19,
5887,M010788,2025-12-29,
5887,M010788,2026-01-05,
5887,M010788,2026-01-12,
5887,M010788,2026-01-19,
5887,M010082,2025-12-29,
5887,M010082,2026-01-05,
5887,M010082,2026-01-12,
5887,M010082,2026-01-19,
5887,M012115,2025-12-29,
5887,M012115,2026-01-05,
5887,M012115,2026-01-12,
5887,M012115,2026-01-19,
5887,M009594,2025-12-29,
5887,M009594,2026-01-05,
